game_id,home_team_id,away_team_id,season,date,is_playoff,home_score,away_score,arena_id
1,1,2,2023,"2022-10-18 23:30:00+00:00",1,126,117,1
2,17,21,2023,"2022-10-19 02:00:00+00:00",1,123,109,1
3,30,25,2023,"2022-10-19 23:00:00+00:00",1,113,109,1
4,27,24,2023,"2022-10-19 23:00:00+00:00",1,107,114,1
5,9,16,2023,"2022-10-19 23:30:00+00:00",1,117,107,1
6,19,22,2023,"2022-10-19 23:30:00+00:00",1,108,130,1
7,20,7,2023,"2022-10-19 23:30:00+00:00",1,115,112,1
8,23,10,2023,"2022-10-19 23:30:00+00:00",1,108,116,1
9,13,8,2023,"2022-10-19 23:30:00+00:00",1,108,105,1
10,6,4,2023,"2022-10-20 00:00:00+00:00",1,115,108,1
11,26,29,2023,"2022-10-20 00:00:00+00:00",1,102,129,1
12,14,15,2023,"2022-10-20 01:00:00+00:00",1,123,102,1
13,18,3,2023,"2022-10-20 02:00:00+00:00",1,107,105,1
14,12,11,2023,"2022-10-20 02:00:00+00:00",1,108,115,1
15,2,5,2023,"2022-10-20 23:30:00+00:00",1,88,90,1
16,21,28,2023,"2022-10-21 02:00:00+00:00",1,97,103,1
17,29,22,2023,"2022-10-21 23:00:00+00:00",1,112,124,1
18,27,26,2023,"2022-10-21 23:00:00+00:00",1,134,137,1
19,24,10,2023,"2022-10-21 23:00:00+00:00",1,102,100,1
20,9,25,2023,"2022-10-21 23:30:00+00:00",1,108,98,1
21,19,13,2023,"2022-10-21 23:30:00+00:00",1,109,105,1
22,23,1,2023,"2022-10-21 23:30:00+00:00",1,104,111,1
23,7,30,2023,"2022-10-21 23:30:00+00:00",1,130,106,1
24,16,20,2023,"2022-10-22 00:00:00+00:00",1,122,129,1
25,6,14,2023,"2022-10-22 00:00:00+00:00",1,126,132,1
26,17,15,2023,"2022-10-22 02:00:00+00:00",1,123,128,1
27,11,18,2023,"2022-10-22 02:00:00+00:00",1,113,111,1
28,2,26,2023,"2022-10-22 22:00:00+00:00",1,105,114,1
29,27,30,2023,"2022-10-22 23:00:00+00:00",1,124,115,1
30,25,1,2023,"2022-10-22 23:00:00+00:00",1,120,126,1
31,10,8,2023,"2022-10-23 00:00:00+00:00",1,96,128,1
32,23,13,2023,"2022-10-23 00:00:00+00:00",1,112,109,1
33,5,16,2023,"2022-10-23 00:00:00+00:00",1,125,105,1
34,3,20,2023,"2022-10-23 00:30:00+00:00",1,137,96,1
35,15,4,2023,"2022-10-23 01:00:00+00:00",1,122,117,1
36,12,28,2023,"2022-10-23 02:00:00+00:00",1,109,111,1
37,21,11,2023,"2022-10-23 19:30:00+00:00",1,104,106,1
38,9,29,2023,"2022-10-23 21:00:00+00:00",1,109,126,1
39,8,24,2023,"2022-10-23 23:00:00+00:00",1,117,107,1
40,22,14,2023,"2022-10-23 23:00:00+00:00",1,121,122,1
41,4,6,2023,"2022-10-24 00:00:00+00:00",1,106,116,1
42,17,12,2023,"2022-10-24 00:30:00+00:00",1,130,125,1
43,28,18,2023,"2022-10-24 02:00:00+00:00",1,95,112,1
44,2,27,2023,"2022-10-24 23:00:00+00:00",1,120,106,1
45,23,13,2023,"2022-10-24 23:30:00+00:00",1,90,98,1
46,7,25,2023,"2022-10-24 23:30:00+00:00",1,115,102,1
47,10,1,2023,"2022-10-25 00:00:00+00:00",1,120,102,1
48,16,14,2023,"2022-10-25 00:00:00+00:00",1,114,108,1
49,20,19,2023,"2022-10-25 00:00:00+00:00",1,134,124,1
50,6,26,2023,"2022-10-25 00:00:00+00:00",1,106,115,1
51,11,15,2023,"2022-10-25 02:00:00+00:00",1,135,110,1
52,24,30,2023,"2022-10-25 23:00:00+00:00",1,120,99,1
53,22,3,2023,"2022-10-25 23:30:00+00:00",1,113,111,1
54,4,28,2023,"2022-10-26 00:00:00+00:00",1,108,94,1
55,18,17,2023,"2022-10-26 02:00:00+00:00",1,134,105,1
56,8,25,2023,"2022-10-26 23:00:00+00:00",1,103,92,1
57,30,9,2023,"2022-10-26 23:00:00+00:00",1,113,118,1
58,5,19,2023,"2022-10-26 23:30:00+00:00",1,110,99,1
59,7,29,2023,"2022-10-26 23:30:00+00:00",1,134,131,1
60,13,2,2023,"2022-10-26 23:30:00+00:00",1,119,109,1
61,10,27,2023,"2022-10-27 00:00:00+00:00",1,124,109,1
62,6,26,2023,"2022-10-27 00:00:00+00:00",1,134,122,1
63,14,16,2023,"2022-10-27 01:00:00+00:00",1,109,101,1
64,15,21,2023,"2022-10-27 02:00:00+00:00",1,110,99,1
65,11,23,2023,"2022-10-27 02:00:00+00:00",1,98,119,1
66,19,3,2023,"2022-10-27 23:30:00+00:00",1,125,129,1
67,4,28,2023,"2022-10-28 00:00:00+00:00",1,118,110,1
68,17,23,2023,"2022-10-28 02:00:00+00:00",1,123,110,1
69,12,20,2023,"2022-10-28 02:00:00+00:00",1,110,125,1
70,30,9,2023,"2022-10-28 23:00:00+00:00",1,112,136,1
71,25,29,2023,"2022-10-28 23:00:00+00:00",1,113,93,1
72,1,8,2023,"2022-10-28 23:30:00+00:00",1,123,132,1
73,13,2,2023,"2022-10-28 23:30:00+00:00",1,90,112,1
74,24,27,2023,"2022-10-28 23:30:00+00:00",1,117,127,1
75,5,7,2023,"2022-10-29 00:00:00+00:00",1,119,108,1
76,6,21,2023,"2022-10-29 00:00:00+00:00",1,111,102,1
77,26,10,2023,"2022-10-29 00:30:00+00:00",1,129,124,1
78,15,14,2023,"2022-10-29 01:00:00+00:00",1,117,101,1
79,18,22,2023,"2022-10-29 02:00:00+00:00",1,124,111,1
80,11,16,2023,"2022-10-29 02:00:00+00:00",1,125,111,1
81,12,23,2023,"2022-10-29 22:00:00+00:00",1,119,113,1
82,29,17,2023,"2022-10-29 23:00:00+00:00",1,120,113,1
83,19,27,2023,"2022-10-29 23:30:00+00:00",1,116,125,1
84,10,2,2023,"2022-10-30 00:00:00+00:00",1,109,114,1
85,5,9,2023,"2022-10-30 00:00:00+00:00",1,123,115,1
86,3,4,2023,"2022-10-30 01:00:00+00:00",1,111,117,1
87,14,20,2023,"2022-10-30 01:00:00+00:00",1,124,123,1
88,28,22,2023,"2022-10-30 19:00:00+00:00",1,91,112,1
89,1,24,2023,"2022-10-30 22:00:00+00:00",1,112,94,1
90,8,7,2023,"2022-10-30 22:00:00+00:00",1,121,108,1
91,30,17,2023,"2022-10-30 22:00:00+00:00",1,128,114,1
92,26,6,2023,"2022-10-30 23:00:00+00:00",1,107,98,1
93,3,25,2023,"2022-10-30 23:30:00+00:00",1,114,105,1
94,18,16,2023,"2022-10-31 01:00:00+00:00",1,124,109,1
95,21,15,2023,"2022-10-31 01:30:00+00:00",1,121,110,1
96,29,12,2023,"2022-10-31 23:00:00+00:00",1,108,115,1
97,24,2,2023,"2022-10-31 23:00:00+00:00",1,111,118,1
98,19,27,2023,"2022-10-31 23:30:00+00:00",1,116,109,1
99,13,9,2023,"2022-10-31 23:30:00+00:00",1,139,109,1
100,5,30,2023,"2022-11-01 00:00:00+00:00",1,110,108,1
101,14,20,2023,"2022-11-01 01:00:00+00:00",1,121,105,1
102,28,16,2023,"2022-11-01 02:30:00+00:00",1,95,93,1
103,19,10,2023,"2022-11-01 23:30:00+00:00",1,99,108,1
