player_id,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,plus_minus,date
"jokicni01","Nikola Jokić","Team.DENVER_NUGGETS","Location.HOME","Team.BOSTON_CELTICS","Outcome.WIN",1922,10,13,2,2,8,8,0,12,12,1,0,0,1,37.5,14.0,"2023-01-01"
"moranja01","Ja Morant","Team.MEMPHIS_GRIZZLIES","Location.HOME","Team.SACRAMENTO_KINGS","Outcome.WIN",1967,13,23,1,5,8,10,0,7,5,1,1,3,4,26.0,8.0,"2023-01-01"
"brownja02","Jaylen Brown","Team.BOSTON_CELTICS","Location.AWAY","Team.DENVER_NUGGETS","Outcome.LOSS",2053,12,20,4,8,2,2,2,6,3,1,0,0,3,25.9,-7.0,"2023-01-01"
"jonesty01","Tyus Jones","Team.MEMPHIS_GRIZZLIES","Location.HOME","Team.SACRAMENTO_KINGS","Outcome.WIN",1938,5,10,5,7,3,4,0,6,8,1,0,0,0,21.0,14.0,"2023-01-01"
"sabondo01","Domantas Sabonis","Team.SACRAMENTO_KINGS","Location.AWAY","Team.MEMPHIS_GRIZZLIES","Outcome.LOSS",1977,8,14,0,2,2,2,6,8,4,1,0,0,4,20.2,-1.0,"2023-01-01"
"hachiru01","Rui Hachimura","Team.WASHINGTON_WIZARDS","Location.AWAY","Team.MILWAUKEE_BUCKS","Outcome.WIN",1913,11,18,3,5,1,3,0,4,3,1,0,1,1,19.9,18.0,"2023-01-01"
"gordoaa01","Aaron Gordon","Team.DENVER_NUGGETS","Location.HOME","Team.BOSTON_CELTICS","Outcome.WIN",2218,6,13,1,2,5,6,1,5,7,2,1,2,1,18.3,23.0,"2023-01-01"
"tatumja01","Jayson Tatum","Team.BOSTON_CELTICS","Location.AWAY","Team.DENVER_NUGGETS","Outcome.LOSS",2131,7,16,0,4,11,14,0,7,6,2,0,5,1,18.3,-15.0,"2023-01-01"
"gaffoda01","Daniel Gafford","Team.WASHINGTON_WIZARDS","Location.AWAY","Team.MILWAUKEE_BUCKS","Outcome.WIN",1670,8,11,0,0,1,2,3,1,4,1,1,1,1,17.6,14.0,"2023-01-01"
"porzikr01","Kristaps Porziņģis","Team.WASHINGTON_WIZARDS","Location.AWAY","Team.MILWAUKEE_BUCKS","Outcome.WIN",1763,9,16,0,5,4,4,1,4,0,2,2,2,3,16.5,14.0,"2023-01-01"
