player_id,name,age,position,team_id
"1","Jayson Tatum",24,"Small Forward",1
"2","Joel Embiid",28,"Center",2
"3","Luka Dončić",23,"Point Guard",3
"4","Shai Gilgeous-Alexander",24,"Point Guard",4
"5","Giannis Antetokounmpo",28,"Shooting Guard",5
"6","Anthony Edwards",21,"Power Forward",6
"7","Julius Randle",28,"Shooting Guard",7
"8","Donovan Mitchell",26,"Power Forward",8
"9","Trae Young",24,"Point Guard",9
"10","Zach LaVine",27,"Power Forward",10
"11","Damian Lillard",32,"Point Guard",11
"12","De'Aaron Fox",25,"Point Guard",12
"13","DeMar DeRozan",33,"Small Forward",10
"14","Jaylen Brown",26,"Small Forward",1
"15","Pascal Siakam",28,"Shooting Guard",13
"16","Lauri Markkanen",25,"Shooting Guard",14
"17","Nikola Jokić",27,"Center",15
"18","Jalen Green",20,"Power Forward",16
"19","Jordan Poole",23,"Point Guard",17
"20","Mikal Bridges",26,"Small Forward",18
"20","Mikal Bridges",26,"Power Forward",19
"21","Stephen Curry",34,"Point Guard",17
"22","Jalen Brunson",26,"Point Guard",7
"23","Kyrie Irving",30,"Point Guard",19
"23","Kyrie Irving",30,"Power Forward",3
"24","Ja Morant",23,"Point Guard",20
"25","LeBron James",38,"Shooting Guard",21
"26","CJ McCollum",31,"Point Guard",22
"27","Bam Adebayo",25,"Center",23
"28","Dejounte Murray",26,"Power Forward",9
"29","Domantas Sabonis",26,"Center",12
"30","Klay Thompson",32,"Small Forward",17
"31","Kristaps Porziņģis",27,"Center",24
"32","Darius Garland",23,"Point Guard",8
"33","Franz Wagner",21,"Small Forward",25
"34","Devin Booker",26,"Power Forward",18
"35","Jimmy Butler",33,"Shooting Guard",23
"36","Anthony Davis",29,"Center",21
"37","Nikola Vučević",32,"Center",10
"38","Paolo Banchero",20,"Shooting Guard",25
"39","RJ Barrett",22,"Power Forward",7
"40","Keldon Johnson",23,"Small Forward",26
"41","Spencer Dinwiddie",29,"Power Forward",3
"41","Spencer Dinwiddie",29,"Point Guard",19
"42","Kevin Durant",34,"Shooting Guard",19
"42","Kevin Durant",34,"Shooting Guard",18
"43","Kyle Kuzma",27,"Shooting Guard",24
"44","Tyler Herro",23,"Power Forward",23
"45","Buddy Hield",30,"Small Forward",27
"46","Fred VanVleet",28,"Point Guard",13
"47","Paul George",32,"Small Forward",28
"48","Terry Rozier",28,"Power Forward",29
"49","Anfernee Simons",23,"Power Forward",11
"50","Bennedict Mathurin",20,"Power Forward",27
"51","Jamal Murray",25,"Point Guard",15
"52","Jerami Grant",28,"Shooting Guard",11
"53","Jrue Holiday",32,"Point Guard",5
"54","Evan Mobley",21,"Shooting Guard",8
"55","Bojan Bogdanović",33,"Shooting Guard",30
"56","Jordan Clarkson",30,"Power Forward",14
"57","D'Angelo Russell",26,"Point Guard",6
"57","D'Angelo Russell",26,"Point Guard",21
"58","Josh Giddey",20,"Shooting Guard",4
"59","Desmond Bane",24,"Power Forward",20
"60","Kawhi Leonard",31,"Small Forward",28
"61","Brook Lopez",34,"Center",5
"62","Harrison Barnes",30,"Shooting Guard",12
"63","Tyrese Maxey",22,"Power Forward",2
"64","James Harden",33,"Point Guard",2
"65","Immanuel Quickley",23,"Power Forward",7
"66","Jaden Ivey",20,"Power Forward",30
"67","Deandre Ayton",24,"Center",18
"68","Scottie Barnes",21,"Small Forward",13
"69","Jaren Jackson Jr.",23,"Center",20
"70","Bradley Beal",29,"Power Forward",24
"71","Tyrese Haliburton",22,"Point Guard",27
"72","Russell Westbrook",34,"Point Guard",21
"72","Russell Westbrook",34,"Point Guard",28
"73","Trey Murphy III",22,"Small Forward",22
"74","Gary Trent Jr.",24,"Power Forward",13
"75","P.J. Washington",24,"Shooting Guard",29
"76","Kevin Huerter",24,"Power Forward",12
"77","Kevin Porter Jr.",22,"Point Guard",16
"78","OG Anunoby",25,"Small Forward",13
"79","Jonas Valančiūnas",30,"Center",22
"80","Christian Wood",27,"Center",3
"81","Myles Turner",26,"Center",27
"82","Brandon Ingram",25,"Small Forward",22
"83","Aaron Gordon",27,"Shooting Guard",15
"84","Alperen Şengün",20,"Center",16
"85","Tobias Harris",30,"Small Forward",2
"86","Michael Porter Jr.",24,"Small Forward",15
"87","Saddiq Bey",23,"Small Forward",30
"87","Saddiq Bey",23,"Small Forward",9
"88","Jalen Williams",21,"Power Forward",4
"89","Dillon Brooks",27,"Small Forward",20
"90","Malik Monk",24,"Power Forward",12
"91","KJ Martin",22,"Small Forward",16
"92","De'Andre Hunter",25,"Small Forward",9
"93","Malik Beasley",26,"Power Forward",14
"93","Malik Beasley",26,"Power Forward",21
"94","Tim Hardaway Jr.",30,"Small Forward",3
"95","Norman Powell",29,"Power Forward",28
"96","Derrick White",28,"Power Forward",1
"97","Luguentz Dort",23,"Small Forward",4
"98","Jabari Smith Jr.",19,"Shooting Guard",16
"99","Malcolm Brogdon",30,"Point Guard",1
"100","Bobby Portis",27,"Shooting Guard",5
"101","Keegan Murray",22,"Small Forward",12
"102","Kelly Oubre Jr.",27,"Small Forward",29
"103","Jarrett Allen",24,"Center",8
"104","Nic Claxton",23,"Center",19
"105","Jaden McDaniels",22,"Small Forward",6
"106","Rudy Gobert",30,"Center",6
"107","John Collins",25,"Shooting Guard",9
"108","Bruce Brown",26,"Small Forward",15
"109","Max Strus",26,"Small Forward",23
"110","Caris LeVert",28,"Power Forward",8
"111","Jakob Poeltl",27,"Center",26
"111","Jakob Poeltl",27,"Center",13
"112","Tre Jones",23,"Point Guard",26
"113","Wendell Carter Jr.",23,"Center",25
"114","Mason Plumlee",32,"Center",29
"114","Mason Plumlee",32,"Center",28
"115","Eric Gordon",34,"Power Forward",16
"115","Eric Gordon",34,"Power Forward",28
"116","Kelly Olynyk",31,"Center",14
"117","LaMelo Ball",21,"Point Guard",29
"118","Markelle Fultz",24,"Point Guard",25
"119","Austin Reaves",24,"Power Forward",21
"120","Patrick Williams",21,"Shooting Guard",10
"121","Dennis Schröder",29,"Point Guard",21
"122","Tyus Jones",26,"Point Guard",20
"123","Kentavious Caldwell-Pope",29,"Power Forward",15
"124","Corey Kispert",23,"Small Forward",24
"125","Chris Paul",37,"Point Guard",18
"126","Ivica Zubac",25,"Center",28
"127","Quentin Grimes",22,"Power Forward",7
"128","Mike Conley",35,"Point Guard",14
"128","Mike Conley",35,"Point Guard",6
"129","Onyeka Okongwu",22,"Center",9
"130","Shaedon Sharpe",19,"Power Forward",11
"131","Killian Hayes",21,"Point Guard",30
"132","Cole Anthony",22,"Point Guard",25
"133","Naz Reid",23,"Center",6
"134","De'Anthony Melton",24,"Power Forward",2
"135","Clint Capela",28,"Center",9
"136","Tari Eason",21,"Shooting Guard",16
"137","Bogdan Bogdanović",30,"Power Forward",9
"138","Jalen McDaniels",25,"Small Forward",29
"138","Jalen McDaniels",25,"Small Forward",2
"139","Zion Williamson",22,"Shooting Guard",22
"140","Grayson Allen",27,"Power Forward",5
"141","Josh Hart",27,"Small Forward",11
"141","Josh Hart",27,"Small Forward",7
"142","Aaron Nesmith",23,"Small Forward",27
"143","Gordon Hayward",32,"Small Forward",29
"144","Zach Collins",25,"Center",26
"145","Marcus Morris",33,"Shooting Guard",28
"146","Coby White",22,"Power Forward",10
"147","Terance Mann",26,"Power Forward",28
"148","Chris Boucher",30,"Shooting Guard",13
"149","Andrew Nembhard",23,"Power Forward",27
"150","Rui Hachimura",24,"Shooting Guard",24
"150","Rui Hachimura",24,"Shooting Guard",21
"151","Daniel Gafford",24,"Center",24
"152","Jaylen Nowell",23,"Power Forward",6
"153","Marcus Smart",28,"Point Guard",1
"154","Devin Vassell",22,"Power Forward",26
"155","Talen Horton-Tucker",22,"Power Forward",14
"156","Naji Marshall",25,"Small Forward",22
"157","Deni Avdija",22,"Small Forward",24
"158","Santi Aldama",22,"Shooting Guard",20
"159","Jusuf Nurkić",28,"Center",11
"160","Reggie Jackson",32,"Point Guard",28
"160","Reggie Jackson",32,"Point Guard",15
"161","Isaiah Joe",23,"Power Forward",4
"162","Ayo Dosunmu",23,"Power Forward",10
"163","Collin Sexton",24,"Point Guard",14
"164","Caleb Martin",27,"Small Forward",23
"165","Walker Kessler",21,"Center",14
"166","Donte DiVincenzo",26,"Power Forward",17
"167","Malaki Branham",19,"Power Forward",26
"168","Royce O'Neale",29,"Small Forward",19
"169","Cedi Osman",27,"Small Forward",8
"170","Jonathan Kuminga",20,"Shooting Guard",17
"171","Bones Hyland",22,"Point Guard",15
"171","Bones Hyland",22,"Point Guard",28
"172","Doug McDermott",31,"Small Forward",26
"173","Lonnie Walker IV",24,"Power Forward",21
"174","Josh Richardson",29,"Power Forward",26
"174","Josh Richardson",29,"Power Forward",22
"175","Alec Burks",31,"Power Forward",30
"176","Jevon Carter",27,"Point Guard",5
"177","T.J. McConnell",30,"Point Guard",27
"178","Cameron Johnson",26,"Shooting Guard",18
"178","Cameron Johnson",26,"Shooting Guard",19
"179","Herbert Jones",24,"Shooting Guard",22
"180","Kyle Anderson",29,"Shooting Guard",6
"181","Keita Bates-Diop",27,"Shooting Guard",26
"182","Jalen Smith",22,"Center",27
"183","Gabe Vincent",26,"Point Guard",23
"184","Grant Williams",24,"Shooting Guard",1
"185","AJ Griffin",19,"Small Forward",9
"186","Shake Milton",26,"Power Forward",2
"187","Georges Niang",29,"Shooting Guard",2
"188","Monte Morris",27,"Point Guard",24
"189","Bol Bol",23,"Shooting Guard",25
"190","Andrew Wiggins",27,"Small Forward",17
"191","Jarred Vanderbilt",23,"Shooting Guard",14
"191","Jarred Vanderbilt",23,"Shooting Guard",21
"192","Draymond Green",32,"Shooting Guard",17
"193","Al Horford",36,"Center",1
"194","Kyle Lowry",36,"Point Guard",23
"195","Jeremy Sochan",19,"Shooting Guard",26
"196","Jalen Duren",19,"Center",30
"197","Damion Lee",30,"Power Forward",18
"198","Cam Thomas",21,"Power Forward",19
"199","Karl-Anthony Towns",27,"Shooting Guard",6
"200","Moritz Wagner",25,"Center",25
"201","Torrey Craig",32,"Shooting Guard",18
"202","Thomas Bryant",25,"Center",21
"202","Thomas Bryant",25,"Center",15
"203","Kevon Looney",26,"Center",17
"204","Isaiah Stewart",21,"Center",30
"205","Joe Harris",31,"Small Forward",19
"206","Trey Lyles",27,"Shooting Guard",12
"207","Reggie Bullock",31,"Small Forward",3
"208","Seth Curry",32,"Power Forward",19
"209","Brandon Clarke",26,"Shooting Guard",20
"210","Dorian Finney-Smith",29,"Shooting Guard",3
"210","Dorian Finney-Smith",29,"Shooting Guard",19
"211","Jose Alvarado",24,"Point Guard",22
"212","Josh Green",22,"Power Forward",3
"213","Luke Kennard",26,"Power Forward",28
"213","Luke Kennard",26,"Power Forward",20
"214","Jordan Nwora",24,"Small Forward",5
"214","Jordan Nwora",24,"Small Forward",27
"215","Troy Brown Jr.",23,"Small Forward",21
"216","Devonte' Graham",27,"Point Guard",22
"216","Devonte' Graham",27,"Point Guard",26
"217","Nick Richards",25,"Center",29
"218","Josh Okogie",24,"Power Forward",18
"219","Jalen Suggs",21,"Power Forward",25
"220","Hamidou Diallo",24,"Small Forward",30
"221","Terrence Ross",31,"Power Forward",25
"221","Terrence Ross",31,"Power Forward",18
"222","Drew Eubanks",25,"Center",11
"223","Tre Mann",21,"Point Guard",4
"224","Sam Hauser",25,"Small Forward",1
"225","Kevin Love",34,"Shooting Guard",8
"225","Kevin Love",34,"Shooting Guard",23
"226","Precious Achiuwa",23,"Center",13
"227","Dwight Powell",31,"Center",3
"228","Marvin Bagley III",23,"Center",30
"229","Khris Middleton",31,"Small Forward",5
"230","Obi Toppin",24,"Shooting Guard",7
"231","Kendrick Nunn",27,"Power Forward",21
"231","Kendrick Nunn",27,"Power Forward",24
"232","Cameron Payne",28,"Point Guard",18
"233","Taurean Prince",28,"Shooting Guard",6
"234","Isaac Okoro",22,"Small Forward",8
"235","Aaron Wiggins",24,"Power Forward",4
"236","Nicolas Batum",34,"Shooting Guard",28
"237","Dennis Smith Jr.",25,"Point Guard",29
"238","Ochai Agbaji",22,"Power Forward",14
"239","Pat Connaughton",30,"Small Forward",5
"240","David Roddy",21,"Shooting Guard",20
"241","Trendon Watford",22,"Shooting Guard",11
"242","Jock Landale",27,"Center",18
"243","Isaiah Jackson",21,"Center",27
"244","Davion Mitchell",24,"Point Guard",12
"245","James Wiseman",21,"Center",17
"245","James Wiseman",21,"Center",30
"246","Victor Oladipo",30,"Power Forward",23
"247","Larry Nance Jr.",30,"Center",22
"248","Jeff Green",36,"Shooting Guard",15
"249","Mitchell Robinson",24,"Center",7
"250","Terence Davis",25,"Power Forward",12
"251","Xavier Tillman Sr.",24,"Center",20
"252","Cory Joseph",31,"Point Guard",30
"253","Kenrich Williams",28,"Shooting Guard",4
"254","Jaden Hardy",20,"Power Forward",3
"255","Anthony Lamb",25,"Small Forward",17
"256","Patrick Beverley",34,"Power Forward",21
"256","Patrick Beverley",34,"Point Guard",10
"257","Kevin Knox",23,"Small Forward",30
"257","Kevin Knox",23,"Shooting Guard",11
"258","Jordan Goodwin",24,"Point Guard",24
"259","Isaiah Hartenstein",24,"Center",7
"260","Andre Drummond",29,"Center",10
"261","Oshae Brissett",24,"Shooting Guard",27
"262","Gary Harris",28,"Power Forward",25
"263","Jalen Johnson",21,"Small Forward",9
"264","Mark Williams",21,"Center",29
"265","Cam Reddish",23,"Small Forward",7
"265","Cam Reddish",23,"Small Forward",11
"266","John Wall",32,"Point Guard",28
"267","Mike Muscala",31,"Center",4
"267","Mike Muscala",31,"Center",1
"268","Will Barton",32,"Power Forward",24
"268","Will Barton",32,"Power Forward",13
"269","Edmond Sumner",27,"Power Forward",19
"270","Alex Caruso",28,"Point Guard",10
"271","Josh Christopher",21,"Power Forward",16
"272","Wenyen Gabriel",25,"Center",21
"273","Delon Wright",30,"Point Guard",24
"274","JaMychal Green",32,"Shooting Guard",17
"275","Goran Dragić",36,"Point Guard",10
"275","Goran Dragić",36,"Point Guard",5
"276","John Konchar",26,"Small Forward",20
"277","Nickeil Alexander-Walker",24,"Power Forward",14
"277","Nickeil Alexander-Walker",24,"Power Forward",6
"278","Chris Duarte",25,"Small Forward",27
"279","Dario Šarić",28,"Shooting Guard",18
"279","Dario Šarić",28,"Center",4
"280","Steven Adams",29,"Center",20
"281","Christian Braun",21,"Power Forward",15
"282","Nassir Little",22,"Small Forward",11
"283","Isaiah Livers",24,"Shooting Guard",30
"284","Landry Shamet",25,"Power Forward",18
