date_val,team
"APR 05, 2024",NEW YORK KNICKS
"MAR 29, 2024",NEW YORK KNICKS
"MAR 21, 2024",NEW YORK KNICKS
"MAR 18, 2024",NEW YORK KNICKS
"MAR 16, 2024",NEW YORK KNICKS
"MAR 14, 2024",NEW YORK KNICKS
"MAR 08, 2024",NEW YORK KNICKS
"MAR 05, 2024",NEW YORK KNICKS
"MAR 03, 2024",NEW YORK KNICKS
"FEB 29, 2024",NEW YORK KNICKS
"FEB 26, 2024",NEW YORK KNICKS
"FEB 24, 2024",NEW YORK KNICKS
"FEB 22, 2024",NEW YORK KNICKS
"FEB 14, 2024",NEW YORK KNICKS
"FEB 12, 2024",NEW YORK KNICKS
"FEB 10, 2024",NEW YORK KNICKS
"FEB 08, 2024",NEW YORK KNICKS
"FEB 06, 2024",NEW YORK KNICKS
"FEB 03, 2024",NEW YORK KNICKS
"FEB 01, 2024",NEW YORK KNICKS
"JAN 29, 2024",NEW YORK KNICKS
"JAN 25, 2024",NEW YORK KNICKS
"JAN 23, 2024",NEW YORK KNICKS
"JAN 20, 2024",NEW YORK KNICKS
"JAN 17, 2024",NEW YORK KNICKS
"JAN 13, 2024",NEW YORK KNICKS
"JAN 11, 2024",NEW YORK KNICKS
"JAN 09, 2024",NEW YORK KNICKS
"JAN 05, 2024",NEW YORK KNICKS
"JAN 03, 2024",NEW YORK KNICKS
"DEC 29, 2023",TORONTO RAPTORS
"DEC 27, 2023",TORONTO RAPTORS
"DEC 22, 2023",TORONTO RAPTORS
"DEC 20, 2023",TORONTO RAPTORS
"DEC 18, 2023",TORONTO RAPTORS
"DEC 15, 2023",TORONTO RAPTORS
"DEC 13, 2023",TORONTO RAPTORS
"DEC 11, 2023",TORONTO RAPTORS
"DEC 08, 2023",TORONTO RAPTORS
"DEC 06, 2023",TORONTO RAPTORS
"DEC 01, 2023",TORONTO RAPTORS
"NOV 28, 2023",TORONTO RAPTORS
"NOV 26, 2023",TORONTO RAPTORS
