player_id,name,age,position,team_name
1,"Luka Dončić",24,"POINT GUARD","DALLAS MAVERICKS"
2,"Shai Gilgeous-Alexander",25,"POINT GUARD","OKLAHOMA CITY THUNDER"
3,"Giannis Antetokounmpo",29,"POWER FORWARD","MILWAUKEE BUCKS"
4,"Jalen Brunson",27,"POINT GUARD","NEW YORK KNICKS"
5,"Nikola Jokić",28,"CENTER","DENVER NUGGETS"
6,"Anthony Edwards",22,"SHOOTING GUARD","MINNESOTA TIMBERWOLVES"
7,"Kevin Durant",35,"POWER FORWARD","PHOENIX SUNS"
8,"Jayson Tatum",25,"POWER FORWARD","BOSTON CELTICS"
9,"De'Aaron Fox",26,"POINT GUARD","SACRAMENTO KINGS"
10,"Stephen Curry",35,"POINT GUARD","GOLDEN STATE WARRIORS"
11,"DeMar DeRozan",34,"SMALL FORWARD","CHICAGO BULLS"
12,"Anthony Davis",30,"CENTER","LOS ANGELES LAKERS"
13,"Devin Booker",27,"POINT GUARD","PHOENIX SUNS"
14,"LeBron James",39,"POWER FORWARD","LOS ANGELES LAKERS"
15,"Tyrese Maxey",23,"POINT GUARD","PHILADELPHIA 76ERS"
16,"Paolo Banchero",21,"POWER FORWARD","ORLANDO MAGIC"
17,"Damian Lillard",33,"POINT GUARD","MILWAUKEE BUCKS"
18,"Dejounte Murray",27,"SHOOTING GUARD","ATLANTA HAWKS"
19,"Pascal Siakam",29,"POWER FORWARD","TORONTO RAPTORS"
20,"Pascal Siakam",29,"POWER FORWARD","INDIANA PACERS"
21,"Paul George",33,"POWER FORWARD","LOS ANGELES CLIPPERS"
22,"Kawhi Leonard",32,"SMALL FORWARD","LOS ANGELES CLIPPERS"
23,"Jaylen Brown",27,"SMALL FORWARD","BOSTON CELTICS"
24,"Jalen Green",21,"SHOOTING GUARD","HOUSTON ROCKETS"
25,"Mikal Bridges",27,"SMALL FORWARD","BROOKLYN NETS"
26,"Zion Williamson",23,"POWER FORWARD","NEW ORLEANS PELICANS"
27,"Domantas Sabonis",27,"CENTER","SACRAMENTO KINGS"
28,"Kyle Kuzma",28,"POWER FORWARD","WASHINGTON WIZARDS"
29,"Victor Wembanyama",20,"CENTER","SAN ANTONIO SPURS"
30,"Coby White",23,"POINT GUARD","CHICAGO BULLS"
31,"Kyrie Irving",31,"SHOOTING GUARD","DALLAS MAVERICKS"
32,"Jaren Jackson Jr.",24,"CENTER","MEMPHIS GRIZZLIES"
33,"Cam Thomas",22,"SHOOTING GUARD","BROOKLYN NETS"
34,"Donovan Mitchell",27,"SHOOTING GUARD","CLEVELAND CAVALIERS"
35,"Collin Sexton",25,"SHOOTING GUARD","UTAH JAZZ"
36,"Miles Bridges",25,"SMALL FORWARD","CHARLOTTE HORNETS"
37,"Franz Wagner",22,"SMALL FORWARD","ORLANDO MAGIC"
38,"Cade Cunningham",22,"POINT GUARD","DETROIT PISTONS"
39,"Tyrese Haliburton",23,"POINT GUARD","INDIANA PACERS"
40,"Trae Young",25,"POINT GUARD","ATLANTA HAWKS"
41,"Klay Thompson",33,"SMALL FORWARD","GOLDEN STATE WARRIORS"
42,"Nikola Vučević",33,"CENTER","CHICAGO BULLS"
43,"D'Angelo Russell",27,"POINT GUARD","LOS ANGELES LAKERS"
44,"Bam Adebayo",26,"CENTER","MIAMI HEAT"
45,"Chet Holmgren",21,"CENTER","OKLAHOMA CITY THUNDER"
46,"Jordan Poole",24,"SHOOTING GUARD","WASHINGTON WIZARDS"
47,"Michael Porter Jr.",25,"SMALL FORWARD","DENVER NUGGETS"
48,"Jalen Williams",22,"POWER FORWARD","OKLAHOMA CITY THUNDER"
49,"Joel Embiid",29,"CENTER","PHILADELPHIA 76ERS"
