roster_id,team_name,season
1,"BOSTON CELTICS","2023-2024"
2,"NEW YORK KNICKS","2023-2024"
3,"PHILADELPHIA 76ERS","2023-2024"
4,"BROOKLYN NETS","2023-2024"
5,"TORONTO RAPTORS","2023-2024"
6,"MILWAUKEE BUCKS","2023-2024"
7,"CLEVELAND CAVALIERS","2023-2024"
8,"INDIANA PACERS","2023-2024"
9,"CHICAGO BULLS","2023-2024"
10,"DETROIT PISTONS","2023-2024"
11,"ORLANDO MAGIC","2023-2024"
12,"MIAMI HEAT","2023-2024"
13,"ATLANTA HAWKS","2023-2024"
14,"CHARLOTTE HORNETS","2023-2024"
15,"WASHINGTON WIZARDS","2023-2024"
16,"OKLAHOMA CITY THUNDER","2023-2024"
17,"DENVER NUGGETS","2023-2024"
18,"MINNESOTA TIMBERWOLVES","2023-2024"
19,"UTAH JAZZ","2023-2024"
20,"PORTLAND TRAIL BLAZERS","2023-2024"
21,"LOS ANGELES CLIPPERS","2023-2024"
22,"PHOENIX SUNS","2023-2024"
23,"LOS ANGELES LAKERS","2023-2024"
24,"SACRAMENTO KINGS","2023-2024"
25,"GOLDEN STATE WARRIORS","2023-2024"
26,"DALLAS MAVERICKS","2023-2024"
27,"NEW ORLEANS PELICANS","2023-2024"
28,"HOUSTON ROCKETS","2023-2024"
29,"MEMPHIS GRIZZLIES","2023-2024"
30,"SAN ANTONIO SPURS","2023-2024"
