player_id,roster_id,season
1,26,2023-2024
2,16,2023-2024
3,6,2023-2024
4,2,2023-2024
5,17,2023-2024
6,18,2023-2024
7,22,2023-2024
8,1,2023-2024
9,24,2023-2024
10,25,2023-2024
11,9,2023-2024
12,23,2023-2024
13,22,2023-2024
14,23,2023-2024
15,3,2023-2024
16,11,2023-2024
17,6,2023-2024
18,13,2023-2024
19,5,2023-2024
20,8,2023-2024
21,21,2023-2024
22,21,2023-2024
23,1,2023-2024
24,28,2023-2024
25,4,2023-2024
26,27,2023-2024
27,24,2023-2024
28,15,2023-2024
29,30,2023-2024
30,9,2023-2024
31,26,2023-2024
32,29,2023-2024
33,4,2023-2024
34,7,2023-2024
35,19,2023-2024
36,14,2023-2024
37,11,2023-2024
38,10,2023-2024
39,8,2023-2024
40,13,2023-2024
41,25,2023-2024
42,9,2023-2024
43,23,2023-2024
44,12,2023-2024
45,16,2023-2024
46,15,2023-2024
47,17,2023-2024
48,16,2023-2024
49,3,2023-2024
50,18,2023-2024
51,13,2023-2024
52,27,2023-2024
53,28,2023-2024
54,30,2023-2024
55,27,2023-2024
56,8,2023-2024
57,23,2023-2024
58,14,2023-2024
59,19,2023-2024
60,7,2023-2024
61,28,2023-2024
62,2,2023-2024
63,17,2023-2024
64,12,2023-2024
65,14,2023-2024
66,12,2023-2024
67,3,2023-2024
68,21,2023-2024
69,5,2023-2024
70,25,2023-2024
71,10,2023-2024
72,24,2023-2024
73,2,2023-2024
74,5,2023-2024
75,2,2023-2024
76,5,2023-2024
77,1,2023-2024
78,26,2023-2024
79,20,2023-2024
80,6,2023-2024
81,5,2023-2024
82,4,2023-2024
83,24,2023-2024
84,1,2023-2024
85,15,2023-2024
86,2,2023-2024
87,18,2023-2024
88,30,2023-2024
89,15,2023-2024
90,18,2023-2024
91,21,2023-2024
92,3,2023-2024
93,28,2023-2024
94,20,2023-2024
95,7,2023-2024
96,19,2023-2024
97,22,2023-2024
98,17,2023-2024
99,8,2023-2024
100,3,2023-2024
101,27,2023-2024
102,24,2023-2024
103,29,2023-2024
104,6,2023-2024
105,16,2023-2024
106,19,2023-2024
107,5,2023-2024
108,22,2023-2024
109,7,2023-2024
110,11,2023-2024
111,19,2023-2024
112,25,2023-2024
113,14,2023-2024
114,26,2023-2024
115,11,2023-2024
116,9,2023-2024
117,23,2023-2024
118,20,2023-2024
119,28,2023-2024
120,13,2023-2024
121,13,2023-2024
122,6,2023-2024
123,12,2023-2024
124,8,2023-2024
125,12,2023-2024
126,12,2023-2024
127,18,2023-2024
128,20,2023-2024
129,11,2023-2024
130,10,2023-2024
131,2,2023-2024
132,13,2023-2024
133,30,2023-2024
134,16,2023-2024
135,1,2023-2024
136,8,2023-2024
137,7,2023-2024
138,8,2023-2024
139,27,2023-2024
140,4,2023-2024
141,10,2023-2024
142,27,2023-2024
143,13,2023-2024
144,17,2023-2024
145,22,2023-2024
146,6,2023-2024
147,15,2023-2024
148,26,2023-2024
149,4,2023-2024
150,23,2023-2024
151,21,2023-2024
152,15,2023-2024
153,1,2023-2024
154,7,2023-2024
155,26,2023-2024
156,14,2023-2024
157,30,2023-2024
158,4,2023-2024
159,30,2023-2024
160,7,2023-2024
161,17,2023-2024
162,19,2023-2024
163,5,2023-2024
164,2,2023-2024
165,18,2023-2024
166,21,2023-2024
167,22,2023-2024
168,5,2023-2024
169,2,2023-2024
170,8,2023-2024
171,8,2023-2024
