arena_id,team_id
"State Farm Arena","ATLANTA HAWKS"
"TD Garden","BOSTON CELTICS"
"Barclays Center","BROOKLYN NETS"
"Spectrum Center","CHARLOTTE HORNETS"
"United Center","CHICAGO BULLS"
"Rocket Mortgage FieldHouse","CLEVELAND CAVALIERS"
"American Airlines Center","DALLAS MAVERICKS"
"Ball Arena","DENVER NUGGETS"
"Little Caesars Arena","DETROIT PISTONS"
"Chase Center","GOLDEN STATE WARRIORS"
"Toyota Center","HOUSTON ROCKETS"
"Gainbridge Fieldhouse","INDIANA PACERS"
"Crypto.com Arena","LOS ANGELES CLIPPERS"
"Crypto.com Arena","LOS ANGELES LAKERS"
"FedExForum","MEMPHIS GRIZZLIES"
"FTX Arena","MIAMI HEAT"
"Fiserv Forum","MILWAUKEE BUCKS"
"Target Center","MINNESOTA TIMBERWOLVES"
"Smoothie King Center","NEW ORLEANS PELICANS"
"Madison Square Garden","NEW YORK KNICKS"
"Paycom Center","OKLAHOMA CITY THUNDER"
"Amway Center","ORLANDO MAGIC"
"Wells Fargo Center","PHILADELPHIA 76ERS"
"Footprint Center","PHOENIX SUNS"
"Moda Center","PORTLAND TRAIL BLAZERS"
"Golden 1 Center","SACRAMENTO KINGS"
"AT&T Center","SAN ANTONIO SPURS"
"Scotiabank Arena","TORONTO RAPTORS"
"Vivint Arena","UTAH JAZZ"
"Capital One Arena","WASHINGTON WIZARDS"
