team_name,conference
"BOSTON CELTICS","EASTERN"
"NEW YORK KNICKS","EASTERN"
"PHILADELPHIA 76ERS","EASTERN"
"BROOKLYN NETS","EASTERN"
"TORONTO RAPTORS","EASTERN"
"MILWAUKEE BUCKS","EASTERN"
"CLEVELAND CAVALIERS","EASTERN"
"INDIANA PACERS","EASTERN"
"CHICAGO BULLS","EASTERN"
"DETROIT PISTONS","EASTERN"
"ORLANDO MAGIC","EASTERN"
"MIAMI HEAT","EASTERN"
"ATLANTA HAWKS","EASTERN"
"CHARLOTTE HORNETS","EASTERN"
"WASHINGTON WIZARDS","EASTERN"
"OKLAHOMA CITY THUNDER","WESTERN"
"DENVER NUGGETS","WESTERN"
"MINNESOTA TIMBERWOLVES","WESTERN"
"UTAH JAZZ","WESTERN"
"PORTLAND TRAIL BLAZERS","WESTERN"
"LOS ANGELES CLIPPERS","WESTERN"
"PHOENIX SUNS","WESTERN"
"LOS ANGELES LAKERS","WESTERN"
"SACRAMENTO KINGS","WESTERN"
"GOLDEN STATE WARRIORS","WESTERN"
"DALLAS MAVERICKS","WESTERN"
"NEW ORLEANS PELICANS","WESTERN"
"HOUSTON ROCKETS","WESTERN"
"MEMPHIS GRIZZLIES","WESTERN"
"SAN ANTONIO SPURS","WESTERN"
